linker_smiles,common_name,compatible_metals,mof_ids
[O-]C(=O)c1ccc(c(c1)C(=O)[O-])c1cc(cc(n1)c1ccc(cc1C(=O)[O-])C(=O)[O-])c1ccncc1,,Mn,[Mn].[O-]C(=O)c1ccc(c(c1)C(=O)[O-])c1cc(cc(n1)c1ccc(cc1C(=O)[O-])C(=O)[O-])c1ccncc1
[O-]C(=O)c1ccc(c(c1)C(F)(F)F)C(=O)[O-],2-(trifluoromethyl)terephthalate,V,[O-]C(=O)c1ccc(c(c1)C(F)(F)F)C(=O)[O-].[O].[V]
[O-]C(=O)c1ccc(c(c1)N)[O],3-amino-4-hydroxybenzoate,Y,[O-]C(=O)c1ccc(c(c1)N)[O].[Y][OH]1[Y]2[OH]([Y]1[OH]2[Y])[Y]
[O-]C(=O)c1ccc(c(c1)[O])C(=O)[O-],4-carboxy-3-oxidobenzoate,Zn,[O-]C(=O)c1ccc(c(c1)[O])C(=O)[O-].[OH].[Zn]
[O-]C(=O)c1ccc(c(c1)n1cncc1)C(=O)[O-],,Pb,[O-]C(=O)c1ccc(c(c1)n1cncc1)C(=O)[O-].[Pb]
[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],"1,4-naphthalenedicarboxylate",Ce,[Ce].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)C#Cc1c(F)c(F)c(c(c1F)F)C#Cc1ccc(cc1)C(=O)[O-],,Zr,[O-]C(=O)c1ccc(cc1)C#Cc1c(F)c(F)c(c(c1F)F)C#Cc1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
[O-]C(=O)c1ccc(cc1)C#Cc1c2c(c(c3c1C1c4c(C3c3c1cccc3)cccc4)C#Cc1ccc(cc1)C(=O)[O-])C1c3c(C2c2c1cccc2)cccc3,,Zn,[O-]C(=O)c1ccc(cc1)C#Cc1c2c(c(c3c1C1c4c(C3c3c1cccc3)cccc4)C#Cc1ccc(cc1)C(=O)[O-])C1c3c(C2c2c1cccc2)cccc3.[Zn][Zn]
[O-]C(=O)c1ccc(cc1)C#Cc1c2ccccc2c(c2c1cccc2)C#Cc1ccc(cc1)C(=O)[O-],,In,[In].[O-]C(=O)c1ccc(cc1)C#Cc1c2ccccc2c(c2c1cccc2)C#Cc1ccc(cc1)C(=O)[O-].[O]
[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])c(cc1C#Cc1ccc(cc1)C(=O)[O-])C#Cc1ccc(cc1)C(=O)[O-],,"Cu, Zr",[Cu][Cu].[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])c(cc1C#Cc1ccc(cc1)C(=O)[O-])C#Cc1ccc(cc1)C(=O)[O-]; [O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])c(cc1C#Cc1ccc(cc1)C(=O)[O-])C#Cc1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-],4-[2-(4-carboxylatophenyl)ethynyl]benzoate,"Hf, Sc, Zr",[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[OH].[Sc]; [O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[OH]1[Hf]2345[OH][Hf]6781[O]1[Hf]9%10[OH]7[Hf]7%11%12%13[O]8[Hf]8%14%15([OH]6[Hf]61[OH]9[Hf]([O]%10%12)([O]%146)[OH]%13%15)[OH][Hf]169([OH]4[Hf]4%10[O]2[Hf]2%12[OH]3[Hf]3([O]51)([O]%12[Hf]([OH]42)([O]6%10)[OH]93)([OH]7)[OH]%11)[OH]8; [O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[OH]1[Zr]2345[OH][Zr]6781[O]1[Zr]9%10[OH]7[Zr]7%11%12%13[O]8[Zr]8%14%15([OH]6[Zr]61[OH]9[Zr]([O]%10%12)([O]%146)[OH]%13%15)[OH][Zr]169([OH]4[Zr]4%10[O]2[Zr]2%12[OH]3[Zr]3([O]51)([O]%12[Zr]([OH]42)([O]6%10)[OH]93)([OH]7)[OH]%11)[OH]8
[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-],,Zr,O1[Zr]2O[Zr]3O[Zr]4O[Zr]1O[Zr]1O[Zr](O2)O[Zr](O3)O[Zr](O1)O4.[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])C=C3)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])[nH]2)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-],,Zr,[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])C=C3)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])[nH]2)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43
[O-]C(=O)c1ccc(cc1)C(=C(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],,"Ag, Cd",[Ag][Ag].[O-]C(=O)c1ccc(cc1)C(=C(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]; [Cd][OH2][Cd].[O-]C(=O)c1ccc(cc1)C(=C(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)C(=O)[O-],"1,4-Benzenedicarboxylate","Al, Cd, Co, Cr, Fe, Mg, Mn, Sc, Th, V, Zn, Zr",[Al].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH]; [Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-]; [Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-]; [Cr].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]; [Fe].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH]; [Fe].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]; [Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C(=O)[O-]; [Mg][O]([Mg])[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-]; [Mn].[Mn]Br.[O-]C(=O)c1ccc(cc1)C(=O)[O-]; [O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH].[V]; [O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Th]34[O]5[Th]62[O]2[Th]71[O]4[Th]14[O]3[Th]35[O]6[Th]2([O]71)[O]43; [O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43; [O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43; [O-]C(=O)c1ccc(cc1)C(=O)[O-].[Sc]; [O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn]; [O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]
[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-],PHQYMDAUTAXXFZ-UHFFFAOYSA-L,"Co, Fe, Mn",[Co].[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]; [Co][Co].[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]; [Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]; [Mn].[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],4-[tris(4-carboxylatophenyl)methyl]benzoate,Ce,[Ce].[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])N1[N]C=N[CH]1,,Zn,[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])N1[N]C=N[CH]1.[Zn]
[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],4-[bis(4-carboxylatophenyl)methyl]benzoate,Zn,[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][OH]1[Zn][OH]([Zn]1)[Zn]
[O-]C(=O)c1ccc(cc1)C1=C(N[C](N1)c1ccc(cc1)[C]1NC(=C(N1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],,Cd,[Cd].[O-]C(=O)c1ccc(cc1)C1=C(N[C](N1)c1ccc(cc1)[C]1NC(=C(N1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)C1=C(SC(=C2SC(=C(S2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])S1)c1ccc(cc1)C(=O)[O-],"4-[2-[4,5-bis(4-carboxylatophenyl)-1,3-dithiol-2-ylidene]-5-(4-carboxylatophenyl)-1,3-dithiol-4-yl]benzoate","Cd, Co, La, U",[Cd].[O-]C(=O)c1ccc(cc1)C1=C(SC(=C2SC(=C(S2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])S1)c1ccc(cc1)C(=O)[O-].[O][Cd]; [Co].[O-]C(=O)c1ccc(cc1)C1=C(SC(=C2SC(=C(S2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])S1)c1ccc(cc1)C(=O)[O-]; [La][OH2][La].[O-]C(=O)c1ccc(cc1)C1=C(SC(=C2SC(=C(S2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])S1)c1ccc(cc1)C(=O)[O-]; [O-]C(=O)c1ccc(cc1)C1=C(SC(=C2SC(=C(S2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])S1)c1ccc(cc1)C(=O)[O-].[U]
[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccc(cc1)C(=O)[O-])C=C3)[N]2,,Co,[Co].[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccc(cc1)C(=O)[O-])C=C3)[N]2
[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccc(cc1)C(=O)[O-])C=C3)c1ccc(cc1)C(=O)[O-])[nH]2)c1ccc(cc1)C(=O)[O-],"4,4',4'',4'''-(Porphyrin-5,10,15,20-tetrayl)tetrabenzoate",In,[In].[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccc(cc1)C(=O)[O-])C=C3)c1ccc(cc1)C(=O)[O-])[nH]2)c1ccc(cc1)C(=O)[O-].[OH]
[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Cu]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],64424-13-1,Zr,[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Cu]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Zn]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],83294-30-8,Ce,[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Zn]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[Ce]34[O]5[Ce]62[O]2[Ce]71[O]4[Ce]14[O]3[Ce]35[O]6[Ce]2([O]71)[O]43
[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-],4-[2-(4-carboxylatophenyl)ethenyl]benzoate,"Er, Gd, Ho",[Er].[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-]; [Gd].[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-]; [Ho].[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)C=Nc1ccc(cc1)n1cncc1,,Cd,[Cd].[O-]C(=O)c1ccc(cc1)C=Nc1ccc(cc1)n1cncc1
[O-]C(=O)c1ccc(cc1)CN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)CN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-],,"Cd, Co, Cu",[Cd].[O-]C(=O)c1ccc(cc1)CN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)CN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-]; [Co][OH2][Co].[O-]C(=O)c1ccc(cc1)CN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)CN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-]; [Cu][Cu].[O-]C(=O)c1ccc(cc1)CN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)CN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)CN1CCN(CCN(CC1)Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-],,Zn,[O-]C(=O)c1ccc(cc1)CN1CCN(CCN(CC1)Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-].[Zn]
[O-]C(=O)c1ccc(cc1)CNCc1ccc(cc1)C(=O)[O-],4-[[(4-carboxylatophenyl)methylamino]methyl]benzoate,Zn,[O-]C(=O)c1ccc(cc1)CNCc1ccc(cc1)C(=O)[O-].[Zn][Zn]
[O-]C(=O)c1ccc(cc1)C[NH](Cc1ccc(cc1)C(=O)[O-])CCCN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-],,Zn,[O-]C(=O)c1ccc(cc1)C[NH](Cc1ccc(cc1)C(=O)[O-])CCCN(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-].[Zn]
[O-]C(=O)c1ccc(cc1)N(c1c(C)cc(cc1C)c1cc(C)c(c(c1)C)N(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],,In,[In].[O-]C(=O)c1ccc(cc1)N(c1c(C)cc(cc1C)c1cc(C)c(c(c1)C)N(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],4-(4-carboxylato-N-(4-carboxylatophenyl)anilino)benzoate,"Cd, Eu, In, La, Zn",[Cd].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]; [Eu].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]; [In].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]; [La].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]; [O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]
[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],4-[4-[4-(4-carboxylato-N-(4-carboxylatophenyl)anilino)phenyl]-N-(4-carboxylatophenyl)anilino]benzoate,"Cd, Co, In",[Cd].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]; [Co].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]; [In].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)C(=O)[O-])c1ccc(cc1)c1ccc(s1)C(=O)[O-],,Zn,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)C(=O)[O-])c1ccc(cc1)c1ccc(s1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]
[O-]C(=O)c1ccc(cc1)N1[CH]C=C(C=C1)c1ccncc1,,Ce,I[Cu]1(I)[Cu][Cu]1(I)I.I[Cu]1[Cu]([Cu]1(I)I)(I)I.[Ce].[O-]C(=O)c1ccc(cc1)N1[CH]C=C(C=C1)c1ccncc1
[O-]C(=O)c1ccc(cc1)NC1=NC(=[N]=C([N]1)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-],,"Fe, Zn",[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)NC1=NC(=[N]=C([N]1)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-]; [O-]C(=O)c1ccc(cc1)NC1=NC(=[N]=C([N]1)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]
[O-]C(=O)c1ccc(cc1)NC1=[N]=C(N=C([N]1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],,Zn,[O-]C(=O)c1ccc(cc1)NC1=[N]=C(N=C([N]1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn]
[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],"4-[3-(4-carboxylatophenoxy)-2,2-bis[(4-carboxylatophenoxy)methyl]propoxy]benzoate","Cu, Mg",[Cu][Cu].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]; [Mg].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)OCc1cc(COc2ccc(cc2)C(=O)[O-])c(cc1COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],,Cd,[Cd].[O-]C(=O)c1ccc(cc1)OCc1cc(COc2ccc(cc2)C(=O)[O-])c(cc1COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-],,"Ce, Er, Eu, Gd, Ho, La, Nd, Pr, Sm, Tb",[Ce].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Er].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Eu].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Gd].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Ho].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [La].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [Nd].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-]; [O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Pr]; [O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Sm]; [O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Tb]
[O-]C(=O)c1ccc(cc1)Oc1cc(cc(c1)Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-],,Cd,[Cd].[O-]C(=O)c1ccc(cc1)Oc1cc(cc(c1)Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],4-(4-carboxylatophenoxy)benzoate,"Nd, Tb, Y, Zn, Zr",[Nd].[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-]; [O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[O]12[Y]34[O]5[Y]62[O]2[Y]71[O]4[Y]14[O]3[Y]35[O]6[Y]2([O]71)[O]43; [O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43; [O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Tb]; [O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Zn]; [O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Zn][Zn]
[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-],,Zn,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-].[Zn][Zn]
[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-],4-(4-carboxylatophenyl)sulfonylbenzoate,"Cd, Zn",[Cd][Cd].[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-]; [O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-].[OH].[Zn]
[O-]C(=O)c1ccc(cc1)SSc1ccc(cc1)C(=O)[O-],4-[(4-carboxylatophenyl)disulfanyl]benzoate,Cu,[Cu][Cu].[O-]C(=O)c1ccc(cc1)SSc1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)[B]12ON3C4=C(N5[Fe]6783N(O1)C1=C(N8O[B](ON7C3=C(N6O2)CCCC3)(O5)c2ccc(cc2)C(=O)[O-])CCCC1)CCCC4,,Zn,[O-]C(=O)c1ccc(cc1)[B]12ON3C4=C(N5[Fe]6783N(O1)C1=C(N8O[B](ON7C3=C(N6O2)CCCC3)(O5)c2ccc(cc2)C(=O)[O-])CCCC1)CCCC4.[Zn][Zn]
[O-]C(=O)c1ccc(cc1)[C]1N[C](N[C](N1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],,Eu,[Eu].[O-]C(=O)c1ccc(cc1)[C]1N[C](N[C](N1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(O[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])C)C,,Zr,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(O[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])C)C.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])O,,"Mn, Zn",[Mn].[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])O; [O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])O.[Zn][OH]1[Zn][OH]([Zn]1)[Zn]
[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],4-tris(4-carboxylatophenyl)silylbenzoate,Zn,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn]
[O-]C(=O)c1ccc(cc1)c1c(C)[n-][nH]c1C,,Cu,[Cu].[O-]C(=O)c1ccc(cc1)c1c(C)[n-][nH]c1C
